선거구명,선거구역
서울특별시(지역구 : 48),
종 로 구 선 거 구,종로구
중구성동구갑선거구,성동구왕십리제2동
중구성동구갑선거구,왕십리도선동
중구성동구갑선거구,마장동
중구성동구갑선거구,사근동
중구성동구갑선거구,행당제1동
중구성동구갑선거구,행당제2동
중구성동구갑선거구,응봉동
중구성동구갑선거구,성수1가제1동
중구성동구갑선거구,성수1가제2동
중구성동구갑선거구,성수2가제1동
중구성동구갑선거구,성수2가제3동
중구성동구갑선거구,송정동
중구성동구갑선거구,용답동
중구성동구을선거구,성동구금호1가동
중구성동구을선거구,금호2․3가동
중구성동구을선거구,금호4가동
중구성동구을선거구,옥수동
중구성동구을선거구,중구
용 산 구 선 거 구,용산구
광 진 구 갑 선 거 구,중곡제1동
광 진 구 갑 선 거 구,중곡제2동
광 진 구 갑 선 거 구,중곡제3동
광 진 구 갑 선 거 구,중곡제4동
광 진 구 갑 선 거 구,능동
광 진 구 갑 선 거 구,구의제2동
광 진 구 갑 선 거 구,광장동
광 진 구 갑 선 거 구,군자동
광 진 구 을 선 거 구,구의제1동
광 진 구 을 선 거 구,구의제3동
광 진 구 을 선 거 구,자양제1동
광 진 구 을 선 거 구,자양제2동
광 진 구 을 선 거 구,자양제3동
광 진 구 을 선 거 구,자양제4동
광 진 구 을 선 거 구,화양동
동대문구갑선거구,용신동
동대문구갑선거구,제기동
동대문구갑선거구,청량리동
동대문구갑선거구,회기동
동대문구갑선거구,휘경제1동
동대문구갑선거구,휘경제2동
동대문구갑선거구,이문제1동
동대문구갑선거구,이문제2동
동대문구을선거구,전농제1동
동대문구을선거구,전농제2동
동대문구을선거구,답십리제1동
동대문구을선거구,답십리제2동
동대문구을선거구,장안제1동
동대문구을선거구,장안제2동
중 랑 구 갑 선 거 구,면목본동
중 랑 구 갑 선 거 구,면목제2동
중 랑 구 갑 선 거 구,면목제3․8동
중 랑 구 갑 선 거 구,면목제4동
중 랑 구 갑 선 거 구,면목제5동
중 랑 구 갑 선 거 구,면목제7동
중 랑 구 갑 선 거 구,상봉제2동
중 랑 구 갑 선 거 구,망우제3동
중 랑 구 을 선 거 구,상봉제1동
중 랑 구 을 선 거 구,중화제1동
중 랑 구 을 선 거 구,중화제2동
중 랑 구 을 선 거 구,묵제1동
중 랑 구 을 선 거 구,묵제2동
중 랑 구 을 선 거 구,망우본동
중 랑 구 을 선 거 구,신내제1동
중 랑 구 을 선 거 구,신내제2동
성 북 구 갑 선 거 구,성북동
성 북 구 갑 선 거 구,삼선동
성 북 구 갑 선 거 구,동선동
